model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN
gpt-oss_20b,ObfuscationDetectionV2,0.5,1.0,0.28,0.44,0.0,0.28,24,9,0,61
gpt-oss_20b,ObfuscationDetectionV2,0.6,1.0,0.2,0.33,0.0,0.2,17,9,0,68
gpt-oss_20b,ObfuscationDetectionV2,0.7,1.0,0.14,0.25,0.0,0.14,12,9,0,73
gpt-oss_20b,ObfuscationDetectionV2,0.8,1.0,0.12,0.21,0.0,0.12,10,9,0,75
gpt-oss_20b,ObfuscationDetectionV2,0.9,1.0,0.12,0.21,0.0,0.12,10,9,0,75
gpt-oss_20b,ObfuscationDetectionV3,0.1,1.0,0.86,0.92,0.0,0.86,74,9,0,12
gpt-oss_20b,ObfuscationDetectionV3,0.2,1.0,0.83,0.9,0.0,0.83,71,9,0,15
gpt-oss_20b,ObfuscationDetectionV3,0.3,1.0,0.77,0.87,0.0,0.77,66,9,0,20
gpt-oss_20b,ObfuscationDetectionV3,0.4,1.0,0.69,0.81,0.0,0.69,59,9,0,27
gpt-oss_20b,ObfuscationDetectionV3,0.5,1.0,0.58,0.74,0.0,0.58,50,9,0,36
gpt-oss_20b,ObfuscationDetectionV3,0.6,1.0,0.43,0.6,0.0,0.43,37,9,0,49
gpt-oss_20b,ObfuscationDetectionV3,0.7,1.0,0.3,0.46,0.0,0.3,26,9,0,60
gpt-oss_20b,ObfuscationDetectionV3,0.8,1.0,0.19,0.31,0.0,0.19,16,9,0,70
gpt-oss_20b,ObfuscationDetectionV3,0.9,1.0,0.13,0.23,0.0,0.13,11,9,0,75
