model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN,TP_ArithmeticBranch,FN_ArithmeticBranch,Recall_ArithmeticBranch,TP_CallIndirection,FN_CallIndirection,Recall_CallIndirection,TP_ClassRename,FN_ClassRename,Recall_ClassRename,TP_ConstStringEncryption,FN_ConstStringEncryption,Recall_ConstStringEncryption,TP_FieldRename,FN_FieldRename,Recall_FieldRename,TP_Goto,FN_Goto,Recall_Goto,TP_MethodOverload,FN_MethodOverload,Recall_MethodOverload,TP_MethodRename,FN_MethodRename,Recall_MethodRename,TP_Reflection,FN_Reflection,Recall_Reflection
deepseek-r1_32b,ObfuscationDetectionV2,0.3,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV2,0.4,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV2,0.5,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV2,0.6,0.92,0.94,0.93,0.78,0.17,85,2,7,5,10,1,0.91,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,1,0.9,9,1,0.9,10,0,1.0,7,2,0.78
deepseek-r1_32b,ObfuscationDetectionV2,0.7,0.93,0.47,0.62,0.33,0.13,42,6,3,48,3,8,0.27,6,4,0.6,10,0,1.0,6,4,0.6,5,5,0.5,2,8,0.2,3,7,0.3,4,6,0.4,3,6,0.33
deepseek-r1_32b,ObfuscationDetectionV2,0.8,1.0,0.13,0.24,0.0,0.13,12,9,0,78,0,11,0.0,3,7,0.3,8,2,0.8,1,9,0.1,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
deepseek-r1_32b,ObfuscationDetectionV2,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
deepseek-r1_32b,ObfuscationDetectionV3,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV3,0.2,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV3,0.3,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV3,0.4,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV3,0.5,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV3,0.6,0.91,0.99,0.95,1.0,-0.01,89,0,9,1,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,8,1,0.89
